Claim_ID,Claim_Text,Evidence_Type,Evidence_Source,Verification_Status,Visual_Required,Notes
C0,"An executable byte-faithful protocol with signed local-PSD self/cross diagnostics is the organizing framework for heterogeneous Q/S/L/scale repair under a declared research codec.","method design; verified measurement protocol; planned allocator extension","src/llm_spectral_dynamics/structured/codec_artifact.py; results/pretrained_hessian_repair_pythia70m_serialized_20260714/artifact_manifest.json; paper/results/scaling_pilot_manifest.json; notes/design/method-components.csv; docs/method_rationality_comparison_and_expansion_20260716.md",verified,yes,"The legacy round-trip audit protocol is implemented and has committed artifacts; the budget-band allocator extension and 15-job evidence remain planned. QSL composition, interaction theory, Hessian-aware rate allocation, and orthogonal Q/L coordination all have prior art; performance advantage is not established."
C1,"Exact physical serialization can reverse a conclusion obtained from logical value-stream accounting.","experiment; artifact","results/pretrained_hessian_repair_pythia70m_serialized_20260714/serialized_rate_summary.json; results/pretrained_hessian_repair_pythia70m_serialized_20260714/artifact_manifest.json; docs/serialized_rate_liftquant_confirmatory_update_20260714.md",verified,yes,"Bounded to Pythia-70M, six selected MLP linear tensors, one seed."
C2,"The tested legacy strict scaled Q+S+L file is tail-padded to the same 3248832-byte final length as Q+L, but its natural artifact is 15680 bytes smaller and its PPL delta is 0.557993 worse.","experiment; artifact","results/pretrained_hessian_repair_pythia70m_serialized_20260714/strategy_endpoints.csv; results/pretrained_hessian_repair_pythia70m_serialized_20260714/serialized_rate_summary.json; results/pretrained_hessian_repair_pythia70m_serialized_20260714/artifact_payloads.csv",verified,yes,"Rejects the conservative per-layer-guarded candidate only; it is not evidence about a budget-exhausted or globally optimal QSL frontier."
C3,"S and L are nearly Hessian-orthogonal while Q-S and Q-L exhibit sizable negative cross terms.","diagnostic experiment","results/pretrained_hessian_repair_pythia70m_serialized_20260714/strategy_endpoints.csv; docs/serialized_rate_liftquant_confirmatory_update_20260714.md",verified,yes,"Aggregate strict scaled QSL rho_H(S,L)=0.030354; rho_H(Q,S) about -0.4234 and rho_H(Q,L) about -0.5719."
C4,"The Hessian proxy correlates strongly with each sampled radial NLL path but does not establish cross-candidate ranking or replace endpoint evaluation.","diagnostic experiment","results/pretrained_hessian_repair_pythia70m_serialized_20260714/comfort_sweep.csv; results/pretrained_hessian_repair_pythia70m_serialized_20260714/comfort_summary.csv; docs/serialized_rate_liftquant_confirmatory_update_20260714.md",verified,yes,"Six 13-point paths have within-direction proxy/NLL correlations about 0.9970-0.9995 and nonzero negative fitted linear terms; candidate-level rank correlation remains unmeasured."
C5,"Small repair state can improve parameter utilization when evaluated by held-out loss recovered per exact byte.","ablation; paired diagnostic","results/pretrained_hessian_repair_pythia70m_serialized_20260714/paired_method_comparisons.csv; results/pretrained_hessian_repair_pythia70m_serialized_20260714/strategy_endpoints.csv; paper/results/scaling_pilot_pairs.csv; paper/results/scaling_pilot_manifest.json",verified,yes,"OBS improves Q+S at zero additional artifact bytes in the bounded run and all three separate smoke scopes; block scale improves Q while adding bytes in all three smoke scopes. Folded global scale helps two scopes and hurts one, so small state is not sufficient by itself."
C6,"A sufficient local same-byte condition for combination advantage requires the realized repair gain to exceed payload give-up and interaction cost, with feasible discrete allocation after all physical overhead.","verified derivation; planned empirical ablation","paper/sections/theory.tex; paper/appendices/theory_proofs.tex; notes/design/experiment-matrix.csv",verified,yes,"The derivation includes nonzero first-order terms, Hessian interactions, discrete serialization, and endpoint validation. It is sufficient rather than necessary; its multi-seed/multi-rate empirical tests remain planned and it does not establish global optimality."
C7,"An eight-seed leak-controlled WikiText-2 split is fixed for confirmatory evaluation.","protocol manifest","results/confirmatory_hessian_protocol_20260714/protocol.json; results/confirmatory_hessian_protocol_20260714/summary.md",preregistered,no,"Data/split manifest only; no eight-seed model result has been run."
C8,"The framework generalizes across larger models, model families, full tensor scopes, and multiple rates.","planned experiment","notes/design/experiment-matrix.csv; configs/large_model_method_ablation_20260716.json",planned,yes,"Server 210 is reachable, but the 15-job directory has only 2 completed_valid CPU Pythia/OPT controls and 13 planned rows; separate live directories contain 1/24 Pythia confirmatory-frontier completion and 2/28 Qwen2.5-3B layer-0 gate-only SVD sentinels. All are untracked live state. The 3B/7B smoke covers only six gate/up tensors at three depths and excludes down_proj; existing observations do not verify generalization, a model-size trend, full-MLP/full-model compression, or an accuracy-rate frontier."
C9,"External methods require separate A0/A1/B/C/D training-and-scope tracks and payload-matched comparison rules.","primary-source protocol audit","results/compression_method_comparison_20260713/method_matrix.csv; results/compression_method_comparison_20260713/summary.md; paper/results/related_work_matrix.csv; docs/multimodal_spectral_stacked_compression_strategy_20260716.md",literature-reported,yes,"The 59-row registry and 27-row paper subset are literature protocol taxonomies, not measured leaderboards. Ten D-lane rows cover multimodal/video quantization, cache, sparse or structured attention, and sparse-low-rank attention. Harma, OBR, Hessian ECSQ, Optimal Formats, ProjQ, QuantSparse, and CacheQuant materially narrow novelty and stacking claims."
